,date,pm,ydistance,ycount,hcount,yduration,hduration,yspeed,year
0,2019-03-01,7.8,1903.0000000000005,1158,13869,190.4261111111109,4042.0244444444425,9.993377425481462,2019
1,2019-03-02,8.2,1471.1099999999997,885,14918,130.89777777777783,4023.6336111111377,11.238617071845708,2019
2,2019-03-03,9.0,1397.6699999999996,865,13633,118.58194444444433,3572.5558333333115,11.786532988205538,2019
3,2019-03-04,7.1,895.5500000000004,545,9343,73.25083333333328,2346.1411111111074,12.2257994789593,2019
4,2019-03-05,7.5,1377.59,845,10950,134.85416666666666,3183.558333333341,10.215405530665842,2019
5,2019-03-06,7.8,1295.0099999999993,834,11740,124.20416666666652,3274.5286111111145,10.426461806836867,2019
6,2019-03-07,8.4,1195.0800000000015,787,12101,119.9777777777777,3522.3533333333366,9.96084460085203,2019
7,2019-03-08,9.7,1623.5899999999979,1002,13366,161.6213888888889,4003.622499999996,10.045638211389086,2019
8,2019-03-09,11.4,1894.5299999999977,1081,15602,173.82861111111134,4517.692499999993,10.898838734832973,2019
9,2019-03-10,6.1,1670.59,950,13985,135.73555555555558,3679.8041666666786,12.30768160311717,2019
10,2019-03-11,6.0,1220.2699999999988,721,10428,115.03944444444444,2985.9822222222206,10.607405189524357,2019
11,2019-03-12,6.3,1295.39,793,10692,125.84861111111105,3056.0886111110926,10.293240335058663,2019
12,2019-03-13,9.1,1310.6100000000013,793,10805,120.90888888888892,3047.610555555546,10.839649690308596,2019
13,2019-03-14,7.4,1473.7699999999998,880,11291,141.1986111111111,3266.5152777777557,10.437567256524005,2019
14,2019-03-15,11.4,1507.149999999998,955,13386,150.428611111111,3895.2938888888943,10.019038192719686,2019
15,2019-03-16,3.2,1604.5299999999995,938,14952,143.44444444444449,4220.331666666674,11.185724244771489,2019
16,2019-03-17,3.5,1356.6199999999988,830,13080,113.28250000000008,3411.671388888901,11.975547856023638,2019
17,2019-03-18,5.0,1094.4499999999994,674,10137,99.32166666666667,2792.0794444444487,11.019247227023302,2019
18,2019-03-19,6.8,1083.14,672,10312,100.36527777777779,2864.213333333341,10.791979297842602,2019
19,2019-03-20,8.6,1140.200000000001,707,10395,105.12833333333332,2927.4941666666678,10.845791651473606,2019
20,2019-03-21,5.5,1183.2099999999998,770,11985,114.36138888888892,3433.846388888895,10.34623671062251,2019
21,2019-03-22,3.7,1529.5400000000009,921,13418,145.3183333333333,3864.450277777777,10.52544413987683,2019
22,2019-03-23,4.5,1168.729999999999,744,14648,101.40027777777782,3989.7200000000075,11.525905309266617,2019
23,2019-03-24,4.8,1197.5699999999983,729,12748,100.59249999999994,3402.1297222222183,11.905161915649765,2019
24,2019-03-25,7.1,1012.6399999999998,634,10180,90.33861111111113,2766.0350000000085,11.209381985677338,2019
25,2019-03-26,3.9,1182.1799999999996,729,10575,111.40999999999993,2919.473333333343,10.61107620500853,2019
26,2019-03-27,5.6,1218.0299999999988,748,10801,111.13472222222227,2968.8972222222274,10.959941012534822,2019
27,2019-03-28,6.8,1117.249999999999,702,10861,108.85611111111116,3163.0788888888737,10.263548721298745,2019
28,2019-03-29,10.2,1279.3400000000008,802,12807,121.58777777777782,3683.334166666672,10.521945736504952,2019
29,2019-03-30,11.6,1369.379999999999,840,14556,123.71805555555564,4194.136944444451,11.068554172232997,2019
30,2019-03-31,7.8,1234.9699999999998,785,13214,103.72861111111102,3384.728888888883,11.905779772536784,2019
31,2019-04-01,4.1,1168.0800000000006,716,10635,106.96638888888891,2983.9980555555653,10.920065752741648,2019
32,2019-04-02,5.1,1218.260000000001,747,10209,115.0227777777777,2844.097222222214,10.591467390516868,2019
33,2019-04-03,4.3,1317.4300000000003,821,10327,126.77027777777775,2942.0919444444457,10.392262469515073,2019
34,2019-04-04,3.0,1196.4499999999996,774,10999,116.69555555555553,3228.06222222221,10.252746938853235,2019
35,2019-04-05,4.2,1551.2799999999995,993,13357,154.69888888888883,3841.3736111111125,10.027738474024808,2019
36,2019-04-06,5.5,1420.54,864,14333,128.0936111111111,4054.2836111111246,11.08985832843602,2019
37,2019-04-07,8.1,1320.6200000000006,810,12673,111.76777777777787,3382.4816666666716,11.815748923859983,2019
38,2019-04-08,7.7,1109.3799999999994,646,10045,101.54583333333343,2760.974166666664,10.92491896106026,2019
39,2019-04-09,6.0,1209.5800000000004,719,10266,109.98750000000001,2800.1519444444616,10.99743152630981,2019
40,2019-04-10,2.7,982.3399999999983,635,10014,93.73305555555562,2810.2369444444453,10.480187530190616,2019
41,2019-04-11,4.8,1117.9700000000003,687,10741,104.31055555555557,2966.5899999999874,10.71770727368595,2019
42,2019-04-12,7.6,1426.7700000000011,870,12817,139.8905555555557,3721.069444444451,10.199187460038203,2019
43,2019-04-13,8.8,1458.9700000000007,884,14331,133.65027777777772,4086.567777777792,10.916325983443533,2019
44,2019-04-14,6.8,1238.5899999999992,760,13097,106.23805555555559,3421.532777777772,11.658628290239154,2019
45,2019-04-15,3.9,1109.0000000000011,688,10409,103.00777777777775,2827.5386111111106,10.766177311314154,2019
46,2019-04-16,3.1,1001.9700000000008,614,9916,95.31527777777778,2866.4666666666717,10.512165765660754,2019
47,2019-04-17,3.5,1214.3800000000003,743,10258,116.93333333333335,2960.849999999988,10.385233751425314,2019
48,2019-04-18,8.0,1167.0299999999988,717,10946,113.94805555555553,3166.4047222222093,10.241771957495244,2019
49,2019-04-19,10.3,1429.149999999999,884,12792,127.64694444444457,3426.7652777777917,11.196116023145418,2019
50,2019-04-20,6.9,1373.7900000000002,797,15035,114.47916666666688,3876.788888888879,12.000349408553209,2019
51,2019-04-21,6.1,1412.7500000000007,849,13599,117.24111111111095,3469.081666666677,12.049954035842587,2019
52,2019-04-22,5.4,869.0499999999994,520,9353,77.05666666666667,2530.5366666666573,11.278063762598945,2019
53,2019-04-23,6.4,903.1099999999989,528,9194,80.23555555555552,2447.293611111113,11.255733119149163,2019
54,2019-04-24,4.1,881.3999999999995,551,9257,79.13388888888888,2472.12361111112,11.138085242310847,2019
55,2019-04-25,5.2,959.5000000000003,596,10052,92.4222222222222,2840.100555555559,10.381702332291422,2019
56,2019-04-26,4.0,1118.6200000000001,683,12592,100.15083333333332,3372.6561111111246,11.16935289272015,2019
57,2019-04-27,3.6,1418.7199999999991,797,14081,122.01388888888896,3839.7463888888883,11.627528742174146,2019
58,2019-04-28,4.9,1242.5500000000004,744,12458,101.36916666666669,3200.775000000022,12.257672040314693,2019
59,2019-04-29,4.5,906.5399999999998,560,9689,82.01888888888888,2603.53416666666,11.052819811154611,2019
60,2019-04-30,7.4,1066.460000000001,646,9503,107.30111111111118,2657.380833333332,9.938946474614534,2019
0,2020-03-01,5.9,1114.7800000000004,686,13137,92.88333333333343,3149.6738888888885,12.001937914947058,2020
1,2020-03-02,12.3,1009.0599999999996,640,10145,95.29749999999994,2666.504722222229,10.588525407277213,2020
2,2020-03-03,10.9,1040.88,667,10488,103.40611111111109,2790.124166666667,10.065942803724262,2020
3,2020-03-04,4.8,953.1900000000004,621,10955,92.96027777777775,2918.8011111111045,10.253734420615743,2020
4,2020-03-05,5.2,1064.5800000000002,674,11203,101.0972222222222,3042.5925000000047,10.530259651050972,2020
5,2020-03-06,5.3,1190.989999999999,798,13566,124.49972222222209,3745.624722222221,9.566206082566007,2020
6,2020-03-07,5.1,1099.1000000000013,664,14165,97.08083333333337,3637.956666666651,11.321493257337107,2020
7,2020-03-08,4.9,1066.1399999999994,649,12314,89.07972222222227,2976.1922222222142,11.968380383364451,2020
8,2020-03-09,10.7,909.5399999999994,587,10131,87.14083333333329,2669.0997222222236,10.437586665264082,2020
9,2020-03-10,10.4,940.2500000000001,588,10057,89.99611111111102,2625.312499999988,10.44767366491146,2020
10,2020-03-11,4.4,1057.4399999999998,636,10276,98.8061111111111,2660.594444444435,10.702172042889835,2020
11,2020-03-12,8.4,973.2100000000003,632,10845,95.93750000000016,2849.514444444439,10.14420846905536,2020
12,2020-03-13,5.0,1171.08,723,12344,114.07111111111104,3216.472777777793,10.26622769422583,2020
13,2020-03-14,4.9,867.2999999999997,545,11860,73.11666666666666,2785.8036111111146,11.861864599954409,2020
14,2020-03-15,4.2,645.9099999999999,400,9655,50.56638888888891,2164.846111111111,12.773504578689174,2020
15,2020-03-16,5.0,612.1,367,7789,53.130277777777756,1863.123055555558,11.52073780905427,2020
16,2020-03-17,5.3,409.53999999999957,253,6670,35.37277777777778,1578.5761111111117,11.577829781219068,2020
17,2020-03-18,5.5,356.0799999999998,213,5975,29.52888888888889,1367.9430555555505,12.058699578567122,2020
18,2020-03-19,4.4,315.53999999999996,200,5868,26.494722222222226,1290.8875000000012,11.909541732630185,2020
19,2020-03-20,7.8,394.76000000000005,235,6375,33.437222222222225,1409.0319444444503,11.806004618937644,2020
20,2020-03-21,3.5,280.18000000000006,184,5607,23.251111111111108,1197.569166666666,12.050176813533408,2020
21,2020-03-22,6.1,195.5999999999999,127,4111,15.408055555555563,842.0022222222209,12.694658277596483,2020
22,2020-03-23,2.7,172.08999999999997,108,3780,13.921111111111108,774.401944444446,12.361800622555672,2020
23,2020-03-24,3.0,168.85999999999993,116,3452,13.478333333333333,727.5244444444444,12.528255224434272,2020
24,2020-03-25,4.9,218.56000000000003,129,3412,16.479166666666664,697.1144444444445,13.26280657395702,2020
25,2020-03-26,6.1,225.01000000000002,131,3633,16.994444444444436,756.2255555555549,13.24020921869893,2020
26,2020-03-27,5.4,308.1,187,4505,24.036666666666658,959.8766666666678,12.817917071141318,2020
27,2020-03-28,5.3,184.38,104,3867,13.395555555555555,783.4152777777779,13.764266755142668,2020
28,2020-03-29,2.3,164.73,99,3101,12.046111111111118,623.4674999999996,13.674952727943541,2020
29,2020-03-30,4.7,190.34000000000003,111,3418,14.038333333333334,708.6786111111119,13.558589576160514,2020
30,2020-03-31,1.9,186.81,117,3269,15.35222222222222,664.9505555555545,12.168270970543535,2020
31,2020-04-01,3.6,227.35000000000002,146,3394,18.085833333333326,696.6708333333316,12.570612357738568,2020
32,2020-04-02,3.0,163.6199999999999,123,3407,12.752777777777776,702.8602777777758,12.830145937704197,2020
33,2020-04-03,2.8,265.11,180,3977,21.74416666666666,830.2966666666645,12.192235465450507,2020
34,2020-04-04,3.2,223.33,136,3629,16.585277777777776,727.1194444444457,13.465556802384983,2020
35,2020-04-05,9.1,180.54,92,3035,12.451944444444443,603.163055555555,14.498940370758696,2020
36,2020-04-06,4.2,211.07000000000002,127,3362,16.28972222222222,699.485277777778,12.957249799635083,2020
37,2020-04-07,4.4,198.5400000000001,117,3261,14.785277777777774,664.4097222222229,13.428222518646562,2020
38,2020-04-08,8.5,175.58,104,3297,14.011111111111111,660.0544444444444,12.531482950039653,2020
39,2020-04-09,3.1,164.45999999999992,105,3452,12.161111111111115,687.5527777777771,13.523435358611227,2020
40,2020-04-10,2.9,268.3099999999999,162,4045,20.492222222222228,817.1591666666694,13.093260315566873,2020
41,2020-04-11,4.0,225.29999999999998,130,3850,16.658055555555563,767.6430555555585,13.524987910420377,2020
42,2020-04-12,8.3,150.18000000000004,89,3490,10.988333333333335,702.7044444444471,13.667222812073412,2020
43,2020-04-13,4.0,215.47999999999996,127,3760,16.474722222222223,773.2166666666649,13.079431452224785,2020
44,2020-04-14,3.8,234.99999999999986,145,3684,18.613055555555555,756.3163888888878,12.625546584685175,2020
45,2020-04-15,3.5,253.97,152,4089,18.62194444444444,859.4755555555563,13.638210593833442,2020
46,2020-04-16,4.4,218.92000000000007,143,4314,17.246666666666677,884.2377777777803,12.693467336683414,2020
47,2020-04-17,4.7,271.3300000000001,163,4861,21.652500000000007,1032.8458333333308,12.53111649924951,2020
48,2020-04-18,3.8,125.21000000000001,92,4445,10.473888888888888,910.33638888889,11.95449000159126,2020
49,2020-04-19,5.9,168.42000000000004,96,3801,12.846388888888889,769.8586111111089,13.110299046424636,2020
50,2020-04-20,4.9,239.37000000000006,145,4185,18.67916666666667,877.0977777777766,12.814811510149454,2020
51,2020-04-21,5.5,205.72,120,4066,15.75861111111112,852.9625000000028,13.054449948000205,2020
52,2020-04-22,3.4,205.96999999999997,124,4236,16.00777777777778,897.8358333333331,12.866870271395847,2020
53,2020-04-23,5.9,173.57000000000002,109,4132,14.097777777777782,869.996944444445,12.311869482976038,2020
54,2020-04-24,4.8,271.45,157,4947,21.435833333333342,1071.9955555555587,12.663375189519101,2020
55,2020-04-25,5.9,213.02,121,4660,16.62027777777778,974.0227777777798,12.816873631607974,2020
56,2020-04-26,3.1,128.54,81,3998,10.593333333333332,806.7044444444443,12.13404657016992,2020
57,2020-04-27,1.4,149.70000000000005,91,4149,11.76111111111111,880.7600000000019,12.728389230042518,2020
58,2020-04-28,4.6,190.74,114,4365,15.490277777777782,949.5263888888887,12.31352999193042,2020
59,2020-04-29,5.5,206.85000000000008,132,4381,16.607777777777773,943.6363888888925,12.455007693851616,2020
60,2020-04-30,5.2,196.18000000000006,122,4836,16.016388888888883,1038.5544444444474,12.248703584869673,2020
