,date,count
0,04/01/2019,29152
1,04/02/2019,28975
2,04/03/2019,29104
3,04/04/2019,29168
4,04/05/2019,28702
5,04/06/2019,28863
6,04/07/2019,28892
7,04/08/2019,29018
8,04/09/2019,28964
9,04/10/2019,30391
10,04/11/2019,29120
11,04/12/2019,29463
12,04/13/2019,28989
13,04/14/2019,28916
14,04/15/2019,28931
15,04/16/2019,28851
16,04/17/2019,29234
17,04/18/2019,28739
18,04/19/2019,28887
19,04/20/2019,28907
20,04/21/2019,28980
21,04/22/2019,28918
22,04/23/2019,29367
23,04/24/2019,29024
24,04/25/2019,28993
25,04/26/2019,29668
26,04/27/2019,28914
27,04/28/2019,28982
28,04/29/2019,30972
29,04/30/2019,28982
